waveform	[0]		[1]	
t0	2018-03-06  19:12:01,397620		2018-03-06  19:12:01,397620	
delta t	2,000000E-7		2,000000E-7	

time[0]	Y[0]	time[1]	Y[1]
2018-03-06  19:12:01,397620	-4,913247E-1	2018-03-06  19:12:01,397620	-7,693502E-3
2018-03-06  19:12:01,397620	-4,913247E-1	2018-03-06  19:12:01,397620	-4,745979E-3
2018-03-06  19:12:01,397620	-4,997213E-1	2018-03-06  19:12:01,397620	-5,167053E-3
2018-03-06  19:12:01,397620	-4,913247E-1	2018-03-06  19:12:01,397620	-6,851353E-3
2018-03-06  19:12:01,397620	-4,913247E-1	2018-03-06  19:12:01,397620	-8,535652E-3
2018-03-06  19:12:01,397621	-4,829280E-1	2018-03-06  19:12:01,397621	-7,272427E-3
2018-03-06  19:12:01,397621	-4,913247E-1	2018-03-06  19:12:01,397621	-7,272427E-3
2018-03-06  19:12:01,397621	-4,913247E-1	2018-03-06  19:12:01,397621	-8,114577E-3
2018-03-06  19:12:01,397621	-4,913247E-1	2018-03-06  19:12:01,397621	-6,009203E-3
2018-03-06  19:12:01,397621	-4,997213E-1	2018-03-06  19:12:01,397621	-1,021995E-2
2018-03-06  19:12:01,397622	-4,997213E-1	2018-03-06  19:12:01,397622	-1,232533E-2
2018-03-06  19:12:01,397622	-4,913247E-1	2018-03-06  19:12:01,397622	-9,377801E-3
2018-03-06  19:12:01,397622	-4,829280E-1	2018-03-06  19:12:01,397622	-8,535652E-3
2018-03-06  19:12:01,397622	-4,829280E-1	2018-03-06  19:12:01,397622	-9,377801E-3
2018-03-06  19:12:01,397622	-4,913247E-1	2018-03-06  19:12:01,397622	-1,064103E-2
2018-03-06  19:12:01,397623	-4,913247E-1	2018-03-06  19:12:01,397623	-1,106210E-2
2018-03-06  19:12:01,397623	-4,913247E-1	2018-03-06  19:12:01,397623	-1,106210E-2
2018-03-06  19:12:01,397623	-4,913247E-1	2018-03-06  19:12:01,397623	-1,190425E-2
2018-03-06  19:12:01,397623	-4,913247E-1	2018-03-06  19:12:01,397623	-7,693502E-3
2018-03-06  19:12:01,397623	-4,913247E-1	2018-03-06  19:12:01,397623	-1,232533E-2
2018-03-06  19:12:01,397624	-4,913247E-1	2018-03-06  19:12:01,397624	-1,443070E-2
2018-03-06  19:12:01,397624	-4,913247E-1	2018-03-06  19:12:01,397624	-1,021995E-2
2018-03-06  19:12:01,397624	-4,913247E-1	2018-03-06  19:12:01,397624	-1,021995E-2
2018-03-06  19:12:01,397624	-4,997213E-1	2018-03-06  19:12:01,397624	-1,190425E-2
2018-03-06  19:12:01,397624	-4,913247E-1	2018-03-06  19:12:01,397624	-1,316747E-2
2018-03-06  19:12:01,397625	-4,913247E-1	2018-03-06  19:12:01,397625	-1,148318E-2
2018-03-06  19:12:01,397625	-4,913247E-1	2018-03-06  19:12:01,397625	-1,274640E-2
2018-03-06  19:12:01,397625	-4,913247E-1	2018-03-06  19:12:01,397625	-1,316747E-2
2018-03-06  19:12:01,397625	-4,997213E-1	2018-03-06  19:12:01,397625	-1,106210E-2
2018-03-06  19:12:01,397625	-4,829280E-1	2018-03-06  19:12:01,397625	-1,358855E-2
2018-03-06  19:12:01,397626	-4,913247E-1	2018-03-06  19:12:01,397626	-1,316747E-2
2018-03-06  19:12:01,397626	-4,913247E-1	2018-03-06  19:12:01,397626	-1,190425E-2
