2018-03-06	18:26
Amplitude: 1,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
9999,983            -11,118             71,348            10000,000            -11,408             72,299
10046,177            -10,939             70,607            10046,158            -11,192             71,836
10092,556            -10,711             70,378            10092,529            -10,970             71,349
10139,123            -10,498             69,988            10139,114            -10,743             70,837
10185,875            -10,284             69,089            10185,914            -10,511             70,298
10233,000            -10,074             68,099            10232,930            -10,274             69,729
10280,125             -9,833             67,830            10280,163            -10,032             69,128
10327,622             -9,602             66,909            10327,614             -9,783             68,492
10375,306             -9,353             66,527            10375,284             -9,529             67,820
10423,176             -9,120             65,766            10423,174             -9,268             67,106
10471,232             -8,848             65,071            10471,285             -9,001             66,348
10519,661             -8,589             64,380            10519,619             -8,727             65,542
10568,090             -8,342             63,578            10568,175             -8,446             64,684
10616,891             -8,070             62,423            10616,956             -8,159             63,767
10665,879             -7,781             61,922            10665,961             -7,864             62,788
10715,239             -7,485             61,089            10715,193             -7,561             61,740
10764,599             -7,209             59,635            10764,652             -7,252             60,615
10814,331             -6,906             58,578            10814,340             -6,934             59,407
10864,250             -6,596             57,596            10864,256             -6,609             58,106
10914,356             -6,270             56,313            10914,403             -6,277             56,704
10964,833             -5,976             54,310            10964,782             -5,937             55,190
11015,311             -5,685             52,800            11015,393             -5,590             53,551
11066,161             -5,353             51,355            11066,238             -5,237             51,776
11117,384             -5,020             49,316            11117,317             -4,879             49,849
11168,607             -4,700             47,294            11168,632             -4,517             47,757
11220,202             -4,356             45,399            11220,185             -4,152             45,483
11271,983             -4,033             42,884            11271,975             -3,786             43,009
11323,951             -3,675             40,777            11324,004             -3,423             40,319
11376,292             -3,340             38,048            11376,273             -3,066             37,398
11428,818             -3,029             35,075            11428,783             -2,720             34,230
11481,531             -2,703             31,938            11481,536             -2,389             30,806
11534,616             -2,420             28,960            11534,533             -2,079             27,120
11587,702             -2,157             24,572            11587,774             -1,798             23,174
11641,346             -1,905             21,261            11641,260             -1,553             18,983
11694,990             -1,705             17,509            11694,994             -1,351             14,570
11749,007             -1,465             13,285            11748,976             -1,200              9,974
11803,210             -1,341              9,131            11803,206             -1,104              5,244
11857,599             -1,228              5,237            11857,687             -1,068              0,443
11912,361             -1,207              0,770            11912,420             -1,093             -4,365
11967,495             -1,246             -3,886            11967,405             -1,178             -9,112
12022,629             -1,321             -7,990            12022,644             -1,320            -13,737
12078,136             -1,422            -12,362            12078,138             -1,513            -18,187
12133,829             -1,627            -16,438            12133,889             -1,750            -22,422
12189,895             -1,817            -20,579            12189,896             -2,025            -26,414
12246,147             -2,045            -24,364            12246,162             -2,330            -30,148
12302,771             -2,286            -27,500            12302,688             -2,657            -33,620
12359,396             -2,558            -31,399            12359,474             -3,002            -36,834
12416,579             -2,840            -33,792            12416,523             -3,357            -39,800
12473,762             -3,145            -36,627            12473,835             -3,719            -42,531
12531,504             -3,478            -39,401            12531,412             -4,084            -45,043
12589,246             -3,787            -41,873            12589,254             -4,450            -47,353
12647,361             -4,101            -44,369            12647,363             -4,813            -49,478
12705,661             -4,415            -46,314            12705,741             -5,172            -51,433
12764,335             -4,743            -48,532            12764,388             -5,526            -53,235
12823,381             -5,052            -50,286            12823,306             -5,874            -54,898
12882,426             -5,386            -52,012            12882,496             -6,215            -56,434
12942,031             -5,690            -53,609            12941,958             -6,549            -57,856
13001,636             -5,997            -55,071            13001,696             -6,875            -59,175
13061,799             -6,295            -56,609            13061,709             -7,194            -60,399
13121,963             -6,620            -57,935            13121,999             -7,505            -61,539
13182,499             -6,906            -59,020            13182,567             -7,809            -62,601
13243,407             -7,190            -60,141            13243,415             -8,105            -63,592
13304,502             -7,462            -61,287            13304,544             -8,394            -64,520
13365,969             -7,762            -62,397            13365,955             -8,676            -65,388
13427,623             -8,026            -63,148            13427,650             -8,951            -66,204
13489,649             -8,296            -63,992            13489,629             -9,219            -66,970
13551,861             -8,551            -64,823            13551,894             -9,481            -67,692
13614,446             -8,805            -65,469            13614,447             -9,737            -68,372
13677,217             -9,080            -66,500            13677,288             -9,986            -69,014
13740,361             -9,313            -67,143            13740,420            -10,230            -69,621
13803,877             -9,525            -67,901            13803,843            -10,468            -70,195
13867,579             -9,769            -68,177            13867,558            -10,701            -70,740
13931,654             -9,993            -69,067            13931,568            -10,929            -71,257
13995,916            -10,213            -69,583            13995,873            -11,151            -71,748
