2018-02-27	19:34
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
100,024            -20,252              0,105
125,915            -20,249              0,162
158,511            -20,249              0,187
199,489            -20,238              0,212
251,271            -20,238              0,385
316,277            -20,233              0,321
398,047            -20,219              0,344
501,238            -20,211              0,348
630,878            -20,190              0,493
794,418            -20,174              0,532
1000,054            -20,159              0,517
1258,962            -20,138              0,459
1584,925            -20,125              0,343
1995,265            -20,117              0,314
2511,963            -20,110              0,072
3162,213            -20,108              0,027
3981,031            -20,107             -0,042
5011,819            -20,107              0,014
6309,524            -20,112             -0,019
7943,250            -20,109             -0,325
9999,983            -20,118             -0,228
