2018-02-27	19:27
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
100,024            -20,293             -4,934
116,602            -20,298             -5,644
135,973            -20,310             -6,529
158,511            -20,334             -7,729
184,774            -20,361             -8,948
215,508            -20,402            -10,504
251,271            -20,459            -12,070
292,808            -20,527            -14,040
341,423            -20,619            -16,240
398,047            -20,738            -18,699
464,171            -20,896            -21,720
541,098            -21,098            -24,765
630,878            -21,362            -28,385
735,559            -21,694            -31,951
857,748            -22,118            -36,156
1000,054            -22,640            -40,379
1165,830            -23,251            -44,823
1359,358            -23,958            -48,985
1584,925            -24,784            -53,392
1847,930            -25,666            -57,438
2154,522            -26,666            -61,115
2511,963            -27,739            -64,527
2928,637            -28,853            -67,513
3414,601            -30,028            -70,596
3981,031            -31,200            -73,007
4641,525            -32,514            -75,617
5411,729            -33,738            -76,553
6309,524            -35,118            -78,771
7356,331            -36,368            -80,424
8576,922            -37,625            -81,893
9999,983            -38,941            -82,608
