2018-02-27	19:25
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
100,024             -0,297             -5,466
125,915             -0,323             -6,935
158,511             -0,357             -8,609
199,489             -0,420            -10,801
251,271             -0,517            -13,628
316,277             -0,657            -16,713
398,047             -0,860            -20,796
501,238             -1,163            -25,599
630,878             -1,616            -30,894
794,418             -2,255            -37,035
1000,054             -3,071            -43,364
1258,962             -4,140            -50,020
1584,925             -5,432            -56,182
1995,265             -6,883            -61,513
2511,963             -8,560            -66,845
3162,213            -10,309            -71,015
3981,031            -12,128            -74,640
5011,819            -14,005            -77,318
6309,524            -15,917            -79,670
7943,250            -17,854            -81,557
9999,983            -19,832            -83,045
