waveform	[0]		[1]	
t0	2018-02-27  19:34:41,936305		2018-02-27  19:34:41,936305	
delta t	2,000000E-5		2,000000E-5	

time[0]	Y[0]	time[1]	Y[1]
2018-02-27  19:34:41,936305	5,011312E+0	2018-02-27  19:34:41,936305	5,028667E-1
2018-02-27  19:34:41,936325	5,011312E+0	2018-02-27  19:34:41,936325	5,028667E-1
2018-02-27  19:34:41,936345	5,011312E+0	2018-02-27  19:34:41,936345	5,028667E-1
2018-02-27  19:34:41,936365	5,011312E+0	2018-02-27  19:34:41,936365	5,028667E-1
2018-02-27  19:34:41,936385	5,011312E+0	2018-02-27  19:34:41,936385	4,599390E-1
2018-02-27  19:34:41,936405	5,011312E+0	2018-02-27  19:34:41,936405	5,028667E-1
2018-02-27  19:34:41,936425	5,011312E+0	2018-02-27  19:34:41,936425	5,028667E-1
2018-02-27  19:34:41,936445	5,011312E+0	2018-02-27  19:34:41,936445	5,028667E-1
2018-02-27  19:34:41,936465	5,011312E+0	2018-02-27  19:34:41,936465	5,028667E-1
2018-02-27  19:34:41,936485	5,011312E+0	2018-02-27  19:34:41,936485	5,457944E-1
2018-02-27  19:34:41,936505	5,011312E+0	2018-02-27  19:34:41,936505	5,028667E-1
2018-02-27  19:34:41,936525	5,011312E+0	2018-02-27  19:34:41,936525	4,599390E-1
2018-02-27  19:34:41,936545	5,011312E+0	2018-02-27  19:34:41,936545	5,028667E-1
2018-02-27  19:34:41,936565	5,011312E+0	2018-02-27  19:34:41,936565	5,028667E-1
2018-02-27  19:34:41,936585	5,011312E+0	2018-02-27  19:34:41,936585	5,028667E-1
2018-02-27  19:34:41,936605	5,011312E+0	2018-02-27  19:34:41,936605	5,028667E-1
2018-02-27  19:34:41,936625	5,011312E+0	2018-02-27  19:34:41,936625	5,028667E-1
2018-02-27  19:34:41,936645	5,011312E+0	2018-02-27  19:34:41,936645	4,599390E-1
2018-02-27  19:34:41,936665	5,011312E+0	2018-02-27  19:34:41,936665	5,028667E-1
2018-02-27  19:34:41,936685	5,011312E+0	2018-02-27  19:34:41,936685	5,028667E-1
2018-02-27  19:34:41,936705	5,011312E+0	2018-02-27  19:34:41,936705	5,028667E-1
2018-02-27  19:34:41,936725	5,011312E+0	2018-02-27  19:34:41,936725	5,028667E-1
2018-02-27  19:34:41,936745	4,969225E+0	2018-02-27  19:34:41,936745	4,599390E-1
2018-02-27  19:34:41,936765	5,011312E+0	2018-02-27  19:34:41,936765	5,028667E-1
2018-02-27  19:34:41,936785	4,969225E+0	2018-02-27  19:34:41,936785	4,599390E-1
2018-02-27  19:34:41,936805	5,011312E+0	2018-02-27  19:34:41,936805	5,028667E-1
2018-02-27  19:34:41,936825	5,011312E+0	2018-02-27  19:34:41,936825	5,028667E-1
2018-02-27  19:34:41,936845	5,011312E+0	2018-02-27  19:34:41,936845	5,028667E-1
2018-02-27  19:34:41,936865	5,011312E+0	2018-02-27  19:34:41,936865	5,028667E-1
2018-02-27  19:34:41,936885	5,011312E+0	2018-02-27  19:34:41,936885	4,599390E-1
2018-02-27  19:34:41,936905	5,011312E+0	2018-02-27  19:34:41,936905	5,028667E-1
2018-02-27  19:34:41,936925	5,011312E+0	2018-02-27  19:34:41,936925	5,028667E-1
2018-02-27  19:34:41,936945	5,011312E+0	2018-02-27  19:34:41,936945	5,028667E-1
2018-02-27  19:34:41,936965	5,011312E+0	2018-02-27  19:34:41,936965	5,028667E-1
2018-02-27  19:34:41,936985	5,011312E+0	2018-02-27  19:34:41,936985	4,599390E-1
2018-02-27  19:34:41,937005	5,011312E+0	2018-02-27  19:34:41,937005	4,599390E-1
2018-02-27  19:34:41,937025	5,011312E+0	2018-02-27  19:34:41,937025	5,028667E-1
2018-02-27  19:34:41,937045	5,011312E+0	2018-02-27  19:34:41,937045	5,028667E-1
2018-02-27  19:34:41,937065	5,011312E+0	2018-02-27  19:34:41,937065	5,028667E-1
2018-02-27  19:34:41,937085	5,011312E+0	2018-02-27  19:34:41,937085	5,028667E-1
2018-02-27  19:34:41,937105	5,011312E+0	2018-02-27  19:34:41,937105	5,028667E-1
2018-02-27  19:34:41,937125	5,011312E+0	2018-02-27  19:34:41,937125	4,599390E-1
2018-02-27  19:34:41,937145	5,011312E+0	2018-02-27  19:34:41,937145	5,028667E-1
2018-02-27  19:34:41,937165	5,011312E+0	2018-02-27  19:34:41,937165	5,028667E-1
2018-02-27  19:34:41,937185	5,011312E+0	2018-02-27  19:34:41,937185	5,028667E-1
2018-02-27  19:34:41,937205	5,011312E+0	2018-02-27  19:34:41,937205	5,028667E-1
2018-02-27  19:34:41,937225	5,011312E+0	2018-02-27  19:34:41,937225	5,028667E-1
2018-02-27  19:34:41,937245	5,011312E+0	2018-02-27  19:34:41,937245	5,028667E-1
2018-02-27  19:34:41,937265	5,011312E+0	2018-02-27  19:34:41,937265	5,028667E-1
2018-02-27  19:34:41,937285	5,011312E+0	2018-02-27  19:34:41,937285	5,028667E-1
2018-02-27  19:34:41,937305	5,011312E+0	2018-02-27  19:34:41,937305	5,028667E-1
2018-02-27  19:34:41,937325	5,011312E+0	2018-02-27  19:34:41,937325	5,028667E-1
2018-02-27  19:34:41,937345	4,969225E+0	2018-02-27  19:34:41,937345	5,028667E-1
2018-02-27  19:34:41,937365	-4,963220E+0	2018-02-27  19:34:41,937365	-5,273984E-1
2018-02-27  19:34:41,937385	-5,005306E+0	2018-02-27  19:34:41,937385	-5,273984E-1
2018-02-27  19:34:41,937405	-5,005306E+0	2018-02-27  19:34:41,937405	-4,844707E-1
2018-02-27  19:34:41,937425	-5,005306E+0	2018-02-27  19:34:41,937425	-5,273984E-1
2018-02-27  19:34:41,937445	-5,005306E+0	2018-02-27  19:34:41,937445	-4,844707E-1
2018-02-27  19:34:41,937465	-5,005306E+0	2018-02-27  19:34:41,937465	-4,844707E-1
2018-02-27  19:34:41,937485	-4,963220E+0	2018-02-27  19:34:41,937485	-4,844707E-1
